time,GEN1:Vt,GEN2:Vt,GEN3:Vt,GEN4:Vt,GEN5:Vt,GEN6:Vt,GEN7:Vt,GEN8:Vt,GEN9:Vt,GEN10:Vt,GEN1:delta,GEN2:delta,GEN3:delta,GEN4:delta,GEN5:delta,GEN6:delta,GEN7:delta,GEN8:delta,GEN9:delta,GEN10:delta
1.19,0.95364333900709,0.8003060805534411,0.8202164407934665,0.8321431559370949,0.823890727910048,0.8870827453445833,0.8984133405543461,0.8912661431308906,0.8957103166542071,0.9304367912086857,0.5246678947992038,2.515327024330155,2.465617962670535,2.8414784282581955,3.044058688993043,2.6105617744333696,2.7758731153175384,2.509460364039593,2.8525070057977437,1.5263222449684017
1.2,0.9529165067935457,0.7976902797392647,0.8181236936921125,0.8310703535387604,0.8217916663749983,0.8877038707175943,0.8990005401853548,0.8897508550994926,0.8934955263320246,0.9292700273549265,0.5495907676615216,2.5532329323026652,2.502147247415997,2.8698741461096207,3.0814436933667677,2.627544161990628,2.790239274594193,2.544537712792097,2.8899693720723825,1.5602399321494633
1.21,0.9522318923535373,0.7951031707378913,0.8160616748727635,0.8300249337421195,0.8197321368379857,0.8882452033745575,0.8995090729108889,0.8882710361039117,0.891276454521016,0.9281431811069055,0.5751079521355883,2.591342671895556,2.5387640476193356,2.8981042367651937,3.118650727566908,2.6450573252996996,2.8051266552937886,2.5796256279564487,2.9275670762371098,1.5940806718675702
1.22,0.951590271387889,0.7925497588575398,0.8140350395151328,0.8290109067069444,0.8177199831068712,0.8887108192099654,0.8999440441581721,0.886830710637029,0.8890571383303285,0.9270588662920977,0.6012205161940518,2.6296445466124325,2.5754577640453236,2.9261874275503126,3.155669287269104,2.663142397833532,2.820594787563676,2.6147102382610097,2.9652921185355314,1.6278373099983188
1.23,0.9509923596512138,0.7900352903932315,0.8120486330384019,0.8280323891579945,0.8157631696841786,0.8891054416685935,0.9003113717551233,0.8854340096098667,0.8868417863110457,0.926019727637906,0.6279293240748944,2.66812696853344,2.6122183179358665,2.9541436993089887,3.19248980859124,2.6818387427602106,2.836701126951125,2.6497786589272003,3.0031367469989734,1.6615040253116187
1.24,0.9504388106869667,0.7875652077449132,0.8101074416307442,0.8270935404273801,0.8138696986161679,0.8894343162695385,0.9006176140926322,0.8840851226161677,0.8846347398005466,0.9250284094602768,0.6552350442833418,2.7067784683535745,2.6490361602675665,2.9819941795836447,3.229103663139882,2.701183834881576,2.8535008301475075,2.684819033006259,3.041093457879602,1.6950763293938325
1.25,0.9499302136543085,0.7851451046509524,0.8082165432466851,0.8261985022593511,0.8120475298990234,0.8897030865608053,0.9008698000619445,0.8827882504421213,0.8824404361322357,0.9240875249972854,0.6831381575190041,2.745587702619929,2.6859022772054986,3.009761030283218,3.2655031483996186,2.72121315144543,2.8710465467433806,2.719820567071192,3.079154993348102,1.7285510621958
1.26,0.9494670912883204,0.7827806823654915,0.806381059931766,0.8253513431632911,0.8103045063661163,0.8899176736693553,0.9010752640221608,0.8815475586548689,0.88026337426922,0.9231996269128246,0.7116389644653451,2.784543458414266,2.7228081920873097,3.0374673309714826,3.301681474224357,2.741960072494002,2.889388227901441,2.754773561490652,3.117314336814604,1.7619263834418877
1.27,0.9490498980343611,0.7804777074813769,0.8046061121985657,0.8245560078664954,0.8086482837309162,0.8900841613285012,0.9012414886124924,0.8803671329979057,0.8781080832767132,0.9223671794204362,0.7407375933829988,2.823634655766758,2.7597459643103757,3.0651369588907853,3.337632746197345,2.763455791274122,2.9085729525246187,2.7896694355626073,3.155564706248265,1.7952017601475185
1.28,0.94867901839482,0.7782419719615726,0.8028967760327893,0.8238162721962178,0.8070862662221341,0.8902086879560077,0.9013759577381757,0.8792509372060244,0.8759790939058071,0.9215925323978564,0.7704340074534554,2.862850348117769,2.7967081855226006,3.0927944667998455,3.3733519466195108,2.78572923510023,2.928644771195405,2.82450074782424,3.1938995458780717,1.8283779504965167
1.29,0.9483547655224024,0.7760792557988687,0.8012580429607863,0.8231357035193934,0.8056255480309082,0.8902973470371052,0.9014860215541848,0.8782027737334723,0.8738809134268701,0.9208778977829725,0.8007280118250648,2.9021797211671707,2.83368797353474,3.1204649596510685,3.408834913865389,2.8088069969326246,2.949644567896884,2.8592612118803475,3.232312516655858,1.8614569843257298
1.3,0.9480773800888501,0.7739952925832306,0.7996947834673964,0.8225176266947454,0.8042728606015559,0.8903560967504575,0.9015787747712868,0.8772262477723098,0.8718180037290487,0.9202253284650149,0.8316192603190036,2.9416120904652443,2.8706789643792856,3.1481739710661287,3.4440783208143797,2.8327132778124544,2.9716099393005333,2.8939457081057576,3.270797485853226,1.8944421404535625
1.31,0.9478470294520059,0.7719957381242164,0.7982117139212885,0.821965095349792,0.8030345256424666,0.8903906794735686,0.9016609491355673,0.8763247348283424,0.8697947625967052,0.9196366998135986,0.8631072617586782,2.981136898106266,2.9076753029388853,3.1759473404917395,3.479079653024237,2.8574698401834606,2.994575091223141,2.9285502915784325,3.3093485161482348,1.927337921072387
